Pallet: "pallet_template", Extrinsic: "do_something", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,39768,7953,0,4,1,2
0,30512,4055,0,4,1,2
0,29385,3990,0,4,1,2
0,28970,3642,0,4,1,2
0,29238,3861,0,4,1,2
0,28735,3785,0,4,1,2
0,28977,3648,0,4,1,2
0,28688,3644,0,4,1,2
0,166709,4998,0,4,1,2
0,29091,3711,0,4,1,2
0,28536,3711,0,4,1,2
0,28100,3696,0,4,1,2
0,28196,3660,0,4,1,2
0,28131,3628,0,4,1,2
0,28264,3724,0,4,1,2
0,57463,4454,0,4,1,2
0,29478,8892,0,4,1,2
0,29935,3923,0,4,1,2
0,28801,3688,0,4,1,2
0,28641,3681,0,4,1,2
2,28301,3926,0,4,1,2
2,28046,3757,0,4,1,2
2,28372,8889,0,4,1,2
2,31046,3778,0,4,1,2
2,28567,3677,0,4,1,2
2,28688,3860,0,4,1,2
2,28824,3703,0,4,1,2
2,28712,3671,0,4,1,2
2,28538,3719,0,4,1,2
2,28865,3746,0,4,1,2
2,28832,3634,0,4,1,2
2,28609,5177,0,4,1,2
2,31051,3849,0,4,1,2
2,29071,3920,0,4,1,2
2,28392,3861,0,4,1,2
2,28831,3745,0,4,1,2
2,28393,3760,0,4,1,2
2,28703,3619,0,4,1,2
2,28439,3757,0,4,1,2
2,28458,3584,0,4,1,2
4,29335,5002,0,4,1,2
4,28321,3708,0,4,1,2
4,27969,3515,0,4,1,2
4,28298,3677,0,4,1,2
4,28265,3606,0,4,1,2
4,28284,3651,0,4,1,2
4,28443,3604,0,4,1,2
4,28041,3607,0,4,1,2
4,32722,4761,0,4,1,2
4,28273,3809,0,4,1,2
4,27857,3715,0,4,1,2
4,28512,3708,0,4,1,2
4,28453,3593,0,4,1,2
4,28581,3624,0,4,1,2
4,28385,3609,0,4,1,2
4,27924,3735,0,4,1,2
4,27944,26632,0,4,1,2
4,30344,4057,0,4,1,2
4,28928,3697,0,4,1,2
4,28228,3688,0,4,1,2
6,27714,3609,0,4,1,2
6,29007,3707,0,4,1,2
6,28387,3649,0,4,1,2
6,28271,3706,0,4,1,2
6,28004,5666,0,4,1,2
6,36140,3997,0,4,1,2
6,28577,3859,0,4,1,2
6,28444,3570,0,4,1,2
6,28205,3719,0,4,1,2
6,28298,3654,0,4,1,2
6,28601,3655,0,4,1,2
6,28497,3636,0,4,1,2
6,28162,3583,0,4,1,2
6,71022,4764,0,4,1,2
6,29380,3987,0,4,1,2
6,28482,3688,0,4,1,2
6,28378,3764,0,4,1,2
6,28241,3712,0,4,1,2
6,28335,3695,0,4,1,2
6,28544,3604,0,4,1,2
8,27817,3803,0,4,1,2
8,39534,4611,0,4,1,2
8,28549,3880,0,4,1,2
8,28295,3661,0,4,1,2
8,35747,3678,0,4,1,2
8,28119,3660,0,4,1,2
8,28164,3644,0,4,1,2
8,28444,3711,0,4,1,2
8,28198,3665,0,4,1,2
8,28714,5391,0,4,1,2
8,30762,3797,0,4,1,2
8,27910,3617,0,4,1,2
8,27903,3631,0,4,1,2
8,28896,3604,0,4,1,2
8,28159,3654,0,4,1,2
8,28103,3555,0,4,1,2
8,28068,3550,0,4,1,2
8,28178,3649,0,4,1,2
8,28191,5584,0,4,1,2
8,30218,3785,0,4,1,2
10,28233,3934,0,4,1,2
10,28620,3718,0,4,1,2
10,28012,3631,0,4,1,2
10,28584,3724,0,4,1,2
